source_cbsa_code,source_metro,source_cluster,neighbor_rank,neighbor_cbsa_code,neighbor_metro,neighbor_cluster,distance,neighbor_annual_rent,neighbor_rpp_all_items,neighbor_rpp_housing,neighbor_median_household_income,neighbor_real_household_income,neighbor_mean_real_occ_wage,neighbor_mean_real_income_after_rent,neighbor_mean_rent_burden,neighbor_share_high_lq
10580,"Albany-Schenectady-Troy, NY",4,1,40380,"Rochester, NY",4,3.8677433195190005,13716.0,97.035,87.481,76284.0,78614.93275622198,68855.4798247465,54720.37393511904,0.23952373161743856,0.31393298059964725
10580,"Albany-Schenectady-Troy, NY",4,2,31540,"Madison, WI",1,4.058996505743545,16248.0,97.287,99.748,88804.0,91280.4382908302,70765.56801523487,54064.46714872649,0.2777887735363412,0.3302238805970149
10580,"Albany-Schenectady-Troy, NY",4,3,15380,"Buffalo-Cheektowaga, NY",4,4.3935134945166014,12684.0,95.844,80.989,72237.0,75369.35019406537,71795.89607982081,58561.89082127568,0.2184560153424531,0.28027681660899656
10580,"Albany-Schenectady-Troy, NY",4,4,45060,"Syracuse, NY",4,4.465175983004288,12924.0,95.742,80.656,75492.0,78849.40778341793,70582.2444795936,57083.466513810556,0.22411724162820085,0.30980392156862746
10580,"Albany-Schenectady-Troy, NY",4,5,29620,"Lansing-East Lansing, MI",4,4.488761362532096,13032.0,94.991,83.472,72550.0,76375.65664115548,68225.30697149358,54506.112521493065,0.23614684705994923,0.3090909090909091
10580,"Albany-Schenectady-Troy, NY",4,6,40060,"Richmond, VA",1,4.599363454670564,17364.0,97.858,99.136,86679.0,88576.30444112897,68241.30691375065,50497.22875969068,0.3106618908925918,0.2777777777777778
10580,"Albany-Schenectady-Troy, NY",4,7,39300,"Providence-Warwick, RI-MA",4,4.835492671889469,15684.0,101.773,103.851,87040.0,85523.66541224097,68567.68550832792,53156.918408999016,0.26550380543656876,0.30124777183600715
10580,"Albany-Schenectady-Troy, NY",4,8,25540,"Hartford-West Hartford-East Hartford, CT",1,4.91142042278944,16992.0,102.746,110.234,95118.0,92575.86670040683,71257.96861612689,54720.09852872691,0.27788520830891394,0.2864864864864865
10580,"Albany-Schenectady-Troy, NY",4,9,49340,"Worcester, MA",5,5.103906432746159,17112.0,102.523,113.001,95939.0,93578.02639407742,71034.52136418616,54343.63249047002,0.27836628366176264,0.35084033613445376
10580,"Albany-Schenectady-Troy, NY",4,10,10740,"Albuquerque, NM",4,5.230429143161793,13872.0,95.546,89.153,70783.0,74082.64082222174,66245.07376741902,51726.412598976596,0.26366986004580767,0.2910602910602911
10740,"Albuquerque, NM",4,1,36420,"Oklahoma City, OK",4,3.6207851789117105,13488.0,90.408,73.885,72094.0,79742.94310238032,66009.0050723851,51089.97135855447,0.27197005468478924,0.2937062937062937
10740,"Albuquerque, NM",4,2,17900,"Columbia, SC",4,3.7115675226709075,14316.0,93.662,79.455,68359.0,72984.77504217291,63684.94238174577,48400.195098963,0.28677960507808814,0.23391812865497075
10740,"Albuquerque, NM",4,3,46060,"Tucson, AZ",4,3.8143895262897636,14544.0,96.896,91.765,70315.0,72567.49504623514,62973.76512906566,47963.857599343064,0.2787791107961612,0.25260960334029225
10740,"Albuquerque, NM",4,4,30460,"Lexington-Fayette, KY",4,3.903132699374842,13656.0,92.889,77.093,71966.0,77475.26617791127,65679.17980959354,50977.761988322985,0.2637648845559352,0.2595078299776286
