cbsa_code,bls_msa_name,prim_state,annual_rent,median_gross_rent,median_household_income,real_median_household_income,population,rpp_all_items,rpp_goods,rpp_services_housing,rpp_services_other,mean_occ_wage,median_occ_wage,std_occ_wage,mean_real_occ_wage,median_real_occ_wage,mean_rent_burden,median_rent_burden,mean_cost_adjusted_rent_burden,median_cost_adjusted_rent_burden,mean_wage_to_rent,mean_real_income_after_rent,median_real_income_after_rent,mean_loc_quotient,median_loc_quotient,share_high_lq,mean_jobs_1000,occupation_rows,metro_occ_emp_sum,emp_share_soc_11,emp_share_soc_13,emp_share_soc_15,emp_share_soc_17,emp_share_soc_19,emp_share_soc_21,emp_share_soc_23,emp_share_soc_25,emp_share_soc_27,emp_share_soc_29,emp_share_soc_31,emp_share_soc_33,emp_share_soc_35,emp_share_soc_37,emp_share_soc_39,emp_share_soc_41,emp_share_soc_43,emp_share_soc_45,emp_share_soc_47,emp_share_soc_49,emp_share_soc_51,emp_share_soc_53,log_population,log_metro_occ_emp_sum,metro_cluster,pca_1,pca_2
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",FL,22428.0,1869.0,76527.0,67037.79948315886,6249291.0,114.155,103.556,155.551,109.113,62752.159411764704,54360.0,29126.570779897927,54971.01258093355,47619.46476282248,0.4222538627638956,0.41258279541910103,0.4820238970381251,0.47098389011067476,2.797938265193718,35324.04135759686,27972.493539485786,0.9779268292682927,0.87,0.21951219512195122,1.4982271341463413,700,2734480.0,0.07078128199877125,0.0715821655305579,0.024395863198853163,0.009789795500424213,0.005119803399549457,0.012419180246335683,0.016533307978116498,0.04402665223369708,0.014163570404610748,0.0641291945817852,0.032715543723121035,0.033351862145636464,0.10007387144905064,0.033425002194201456,0.020343904508352592,0.11190427430443814,0.13796773061057313,0.0017297621485620667,0.03857406161317691,0.04104619525467365,0.030338492144758783,0.08558848483075393,15.64797873529592,14.821452213491032,3,7.58612557697052,-6.926674764121026
33140,"Michigan City-La Porte, IN",IN,11712.0,976.0,71055.0,77501.58155363103,111917.0,91.682,94.318,68.451,99.141,55291.76470588235,48340.0,24068.356140359425,60308.200852819915,52725.725878580306,0.24751796376976304,0.24228382292097642,0.22692941954339416,0.22213065453040962,4.720949855351977,47533.61042067401,39951.13544643441,1.454438502673797,1.07,0.34759358288770054,4.549679144385027,188,35110.0,0.04955853033323839,0.03047564796354315,0.007974935915693534,0.011677584733694105,0.0014240956992309882,0.01338649957277129,0.0031330105383081744,0.05411563657077756,0.00484192537738536,0.04386214753631444,0.03958986043862148,0.01708914839077186,0.12104813443463401,0.03076046710338935,0.015949871831387068,0.11535175163771005,0.10823127314155512,0.0,0.05126744517231558,0.04414696667616064,0.12731415551125036,0.10880091142124751,11.625521739272617,10.466269750670861,2,-4.190261680857776,-1.1640184875362263
33220,"Midland, MI",MI,12192.0,1016.0,77705.0,84534.54596882104,83757.0,91.921,93.711,66.684,99.561,66366.56976744186,58525.0,35056.16850360289,72199.57329385217,63668.8025587189,0.22757529891206305,0.20832141422595754,0.20918949051295752,0.19149112717064246,5.4434522447048765,58936.010016690256,50405.239281556984,1.510340909090909,1.06,0.3693181818181818,4.522284090909091,176,30080.0,0.09640957446808511,0.08244680851063829,0.021941489361702128,0.01695478723404255,0.01761968085106383,0.02127659574468085,0.006648936170212766,0.04055851063829787,0.007978723404255319,0.03623670212765957,0.11768617021276596,0.00964095744680851,0.09640957446808511,0.0355718085106383,0.016289893617021278,0.078125,0.12234042553191489,0.0,0.04188829787234043,0.0339095744680851,0.041223404255319146,0.05884308510638298,11.3356869675134,10.311649022192036,4,-0.13936077857294923,4.458749282861048
33260,"Midland, TX",TX,16800.0,1400.0,92952.0,97044.36069031038,180019.0,95.783,93.757,101.497,96.24,67028.88888888889,56685.0,34758.753814044896,69979.9430889499,59180.64792290907,0.3101737914410237,0.2963782096528791,0.2970937626559558,0.2838799405518172,3.9898148148148147,52440.296178746634,41641.001012705805,3.6556643356643357,0.81,0.2867132867132867,3.2614930069930073,289,111190.0,0.09200467667955751,0.044068711215037325,0.014749527835236982,0.032826693047935965,0.014389783253889739,0.004766615702850975,0.003957190394819678,0.03552477740804029,0.0041370626854933,0.024552567676949365,0.02185448331684504,0.00728482777228168,0.08409029588991816,0.021404802590160987,0.00836406151632341,0.0810324669484666,0.09874988757981833,0.0002698084360104326,0.1541505531072938,0.08507959348862308,0.04676679557514165,0.1199748178793057,12.100823234811076,11.619004722271386,4,1.4726799679402875,0.5245624444547902
33340,"Milwaukee-Waukesha, WI",WI,13668.0,1139.0,78218.0,80689.51999752417,1568938.0,96.937,93.787,97.111,99.411,66342.29949409781,60730.0,30512.989783199067,68438.57298461662,62648.936938423925,0.2432016245299029,0.2250617487238597,0.23575235877055198,0.21816810736044787,4.853841051660654,54338.69368156412,48549.05763537143,1.0523076923076924,0.95,0.24273504273504273,1.6857675213675214,608,808080.0,0.05446242946242946,0.07083457083457083,0.028623403623403623,0.019564894564894564,0.006187506187506187,0.014454014454014454,0.007722007722007722,0.05016830016830017,0.01244926244926245,0.07149044649044649,0.05982080982080982,0.0185996435996436,0.08306108306108306,0.030417780417780416,0.01881001881001881,0.08724383724383725,0.1177977427977428,0.00038362538362538364,0.034254034254034255,0.034204534204534204,0.09100584100584101,0.08844421344421344,14.265910152692978,13.602417580003538,4,2.1585369765906406,4.042942040364846
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",MN,17280.0,1440.0,99833.0,95240.50294785445,3713668.0,104.822,103.065,111.838,104.419,72970.88808446455,65680.0,31752.91928351568,69614.09635807802,62658.60220182785,0.2774938216482202,0.2630937880633374,0.29087457372809744,0.27578017052375153,4.2228523197028105,53129.00735004536,46173.51319379519,0.9840548780487804,0.89,0.19969512195121952,1.513810975609756,677,1918270.0,0.07235165018480193,0.08196447841023421,0.03834183926141784,0.022442096263821047,0.009503354585120968,0.019658337981618854,0.008872577895708111,0.057551856620809375,0.013324505935035215,0.05890203151798235,0.06218624072732201,0.016212524827057713,0.08299665844745525,0.026544751260250122,0.021806106543917174,0.08357009180146695,0.11579704629692379,0.0005734333540116876,0.03488560004587467,0.03261793178228299,0.06562162782090113,0.07427525843598659,15.127530894682993,14.466934817458158,1,6.541731287586357,3.403546263381238
33500,"Minot, ND",ND,12468.0,1039.0,78200.0,89856.13825435491,76484.0,87.028,95.701,63.234,91.158,60749.93464052288,58120.0,23056.25102179256,69805.0450895377,66783.10428827503,0.23432690166054504,0.2145216792842395,0.2039300159771391,0.18669392704748797,4.872468290064395,55478.62140980245,52456.68060853978,1.3648366013071895,1.12,0.42483660130718953,5.263477124183007,153,27030.0,0.0680725120236774,0.040695523492415835,0.011468738438771735,0.003329633740288568,0.0022197558268590455,0.011838697743248243,0.005549389567147614,0.07214206437291898,0.008139104698483167,0.05068442471328154,0.04698483166851646,0.01072881982981872,0.12541620421753608,0.038845726970033294,0.01701812800591935,0.12023677395486497,0.11394746577876434,0.0,0.07214206437291898,0.058453570107288196,0.01849796522382538,0.10358860525342212,11.244849922157366,10.204739634516608,2,-3.8707011112953777,1.663896969841529
33540,"Missoula, MT",MT,14208.0,1184.0,74989.0,77753.12354191509,125631.0,96.445,96.006,94.945,98.715,59238.77281553399,50610.0,26908.01651268726,61422.33689204623,52475.504173363064,0.279610042926258,0.2807350326022525,0.26966990590022955,0.27075490219324244,4.169395609201435,46690.62451711751,37743.791798434344,1.7395081967213113,1.2,0.46885245901639344,2.975052459016393,311,60450.0,0.06220016542597188,0.06385442514474772,0.01753515301902399,0.012572373862696443,0.021339950372208438,0.027626137303556658,0.014061207609594707,0.04201819685690653,0.015053763440860216,0.06699751861042183,0.04201819685690653,0.01455748552522746,0.12009925558312655,0.04152191894127378,0.02564102564102564,0.10140612076095946,0.12489660876757651,0.0024813895781637717,0.04698097601323408,0.03672456575682382,0.025475599669148058,0.0749379652605459,11.741112277636132,11.009588398503299,3,0.24446423484509208,-1.904664734204745
33660,"Mobile, AL",AL,12624.0,1052.0,58880.0,66834.66139980477,412590.0,88.098,96.397,60.116,96.693,56042.103896103894,49440.0,25473.061178871118,63613.36681434754,56119.32166450998,0.269627839278571,0.25533980582524274,0.2375367338476355,0.22494926213592234,4.43933015653548,49283.870117487226,41789.82496764966,1.278005249343832,1.02,0.34908136482939633,2.4798162729658793,387,159770.0,0.05608061588533517,0.04481442072979908,0.01908994179132503,0.022782750203417412,0.006258997308631158,0.012205044751830757,0.006822307066407961,0.039181323152031045,0.006884897039494273,0.06690868122926708,0.0405583025599299,0.02347123990736684,0.08987920135194342,0.029542467296739063,0.015772673217750516,0.10245978594229205,0.1173561995368342,0.0,0.06046191400137698,0.06027414408211804,0.06396695249421043,0.11522814045189961,12.93021206648754,11.981496818999338,2,-2.257430612666646,0.21408232088701304
33700,"Modesto, CA",CA,19476.0,1623.0,81468.0,78253.35228800861,553990.0,104.108,105.168,108.476,100.267,70559.13580246913,61410.0,32184.377921160827,67774.94121726394,58986.82137779998,0.3266800405031649,0.31714704445530045,0.34010005656703485,0.3301754450415242,3.6228761451257516,49067.44515548194,40279.32531601798,1.3598275862068967,0.97,0.3374384236453202,2.369709359605911,407,187180.0,0.05075328560743669,0.043327278555401215,0.009562987498664388,0.0060369697617266805,0.007426007052035474,0.02265199273426648,0.0037397157816005983,0.07351212736403462,0.004060262848594935,0.06640666737899348,0.07201624105139438,0.017576664173522813,0.10359012715033658,0.026712255582861416,0.01944652206432311,0.08852441500160274,0.10487231541831392,0.03002457527513623,0.040442354952452186,0.038038251949994654,0.06165188588524415,0.10962709691206325,13.224903720110097,12.139831342148094,5,2.8938860143252816,-0.5135774161247529
33740,"Monroe, LA",LA,11172.0,931.0,51660.0,61796.4759500939,223674.0,83.597,93.691,42.815,95.705,52400.89219330855,46640.0,28184.032156595447,62682.74243490622,55791.47577066163,0.26206553733126503,0.2395368782161235,0.21907892724281763,0.20024564408233275,4.690377031266429,49318.626497731435,42427.35983348685,1.370451127819549,1.07,0.40601503759398494,3.3920263157894737,270,78640.0,0.054933875890132246,0.035096642929806715,0.0076297049847405905,0.008774160732451679,0.0013987792472024414,0.019455747711088503,0.0038148524923702952,0.06002034587995931,0.005213631739572736,0.0871057985757884,0.09003051881993897,0.020981688708036624,0.09638860630722279,0.04018311291963377,0.008519837232960325,0.10160223804679552,0.1396236012207528,0.000508646998982706,0.040437436419125124,0.046414038657171926,0.03814852492370295,0.09371820956256358,12.317949384415797,11.272648470915174,2,-4.742312017860358,0.03331436183128074
33780,"Monroe, MI",MI,12708.0,1059.0,77335.0,82718.30744876566,155505.0,93.492,93.711,74.641,99.561,62132.020725388604,55300.0,28984.425048197332,66457.0452288844,59149.44594189877,0.24608840979640453,0.22980108499095842,0.23007297608685456,0.21484563037974685,4.889205282136339,52864.43837482201,45556.839087836386,1.6512244897959183,1.05,0.34183673469387754,4.396010204081633,196,35160.0,0.060580204778156996,0.040955631399317405,0.010238907849829351,0.01877133105802048,0.002844141069397042,0.012798634812286689,0.0022753128555176336,0.06228668941979522,0.006541524459613196,0.04607508532423208,0.04436860068259386,0.022753128555176336,0.11405005688282138,0.024744027303754267,0.010523321956769055,0.10238907849829351,0.10494880546075085,0.0019908987485779293,0.040955631399317405,0.04579067121729238,0.10494880546075085,0.11916951080773606,11.95443959506604,10.467692792805359,2,-2.4793130253692355,1.572885639920175
33860,"Montgomery, AL",AL,13140.0,1095.0,64010.0,71374.41181061974,386024.0,89.682,96.397,64.347,96.693,55450.50666666667,50020.0,24330.211419355073,61830.14057075741,55774.84891059521,0.28340972491274713,0.26269492203118755,0.2541675094962499,0.23559005997600962,4.219977676306443,47178.37098488734,41123.079324725135,1.2187667560321715,1.02,0.3485254691689008,2.5640991957104555,378,155930.0,0.05297248765471686,0.0591290963894055,0.02687103187327647,0.017956775476175208,0.005835952029756942,0.013339318925158725,0.011928429423459244,0.044699544667478996,0.009683832488937344,0.061373693323927406,0.035913550952350416,0.03052651830949785,0.09145129224652088,0.02725581991919451,0.02122747386647855,0.08991214006284871,0.12601808503815815,0.0008978387738087603,0.030847175014429552,0.04655935355608286,0.09433720259090618,0.10126338741743089,12.863657413189065,11.957168880692466,4,-1.0788584872380742,0.05518142511041543
34060,"Morgantown, WV",WV,11604.0,967.0,64640.0,69264.81146126892,141323.0,93.323,96.27,69.126,99.806,59016.324110671936,50290.0,29769.276286812335,63238.77726891756,53888.10904064379,0.24081274226244528,0.2307416981507258,0.22473367546158182,0.21533507496520182,5.085860402505338,50804.54347874793,41453.87525047416,1.4293103448275863,0.96,0.3486590038314176,3.409551724137931,261,59550.0,0.07388748950461797,0.055415617128463476,0.02653232577665827,0.009907640638119228,0.006045340050377834,0.01528127623845508,0.00654911838790932,0.060453400503778336,0.0068849706129303105,0.1455919395465995,0.06213266162888329,0.00906801007556675,0.10478589420654912,0.03408900083963056,0.012426532325776658,0.08413098236775819,0.12241813602015113,0.0,0.040806045340050376,0.041981528127623846,0.01746431570109152,0.06414777497900924,11.85881040562955,10.994588367253703,2,-2.0359092953987563,0.931216131856612
34100,"Morristown, TN",TN,10476.0,873.0,60553.0,70113.7047844009,122533.0,86.364,96.247,59.024,95.142,52153.188405797104,46160.0,23277.821718525913,60387.64810082568,53448.196007595754,0.23531920622132108,0.22694974003466203,0.20323107926098175,0.19600287348353554,4.978349408724427,48257.59391158017,41318.14181835023,1.8170388349514563,1.0550000000000002,0.4077669902912621,4.168402912621359,210,41200.0,0.04951456310679612,0.03470873786407767,0.00849514563106796,0.009223300970873786,0.0007281553398058253,0.01262135922330097,0.0014563106796116505,0.03616504854368932,0.002669902912621359,0.04563106796116505,0.033737864077669905,0.0191747572815534,0.10121359223300971,0.02063106796116505,0.007766990291262136,0.08616504854368932,0.12087378640776698,0.0,0.04174757281553398,0.04733009708737864,0.17475728155339806,0.14538834951456311,11.716143821477168,10.626217806887722,2,-5.766734281419654,0.34568522918099165
34580,"Mount Vernon-Anacortes, WA",WA,18432.0,1536.0,89263.0,87134.30883515712,131328.0,102.443,105.028,108.165,99.472,72205.56420233463,62330.0,32179.41151667225,70483.64866543798,60843.591070156086,0.2974167363049318,0.2957163484678325,0.3046826271728613,0.30294069886090164,3.917402571741245,52491.204086501406,42851.14649121951,1.6124710424710424,1.17,0.4555984555984556,3.499930501930502,259,46860.0,0.045454545454545456,0.04972257789159198,0.01579172001707213,0.021553563807084935,0.0076824583866837385,0.023474178403755867,0.0038412291933418692,0.06316688006828852,0.004694835680751174,0.05953905249679898,0.051429790866410585,0.02069995731967563,0.10243277848911651,0.03286384976525822,0.01195049082373026,0.09965855740503628,0.11459667093469911,0.003201024327784891,0.06594110115236876,0.04374733247972685,0.06615450277422108,0.09240290226205719,11.78546090414376,10.754941051996274,5,1.3075792556130685,-0.05391925401569945
34620,"Muncie, IN",IN,10872.0,906.0,58127.0,65942.50578572402,112280.0,88.148,94.318,57.474,99.141,56745.09708737864,48725.0,29924.239880564244,64374.798166014705,55276.35340563598,0.23166642453710123,0.22312981250865582,0.20420931990096397,0.1966844671301299,5.219379790965658,52040.99592433027,42942.55116395154,1.27,1.04,0.375609756097561,4.1147024390243905,207,37590.0,0.05320563979781857,0.03990422984836393,0.015695663740356476,0.005054535780792764,0.0013301409949454642,0.02181431231710561,0.0031923383878691143,0.05613194998669859,0.006650704974727321,0.0779462623038042,0.03910614525139665,0.016227720138334664,0.13993083266826284,0.04628890662410216,0.019952114924181964,0.11465815376429901,0.1263633945198191,0.0,0.028465017291832935,0.035381750465549346,0.0627826549614259,0.08991753125831338,11.628759936741822,10.534519939024273,2,-4.1969379549432455,0.11202903854217341
34740,"Muskegon-Norton Shores, MI",MI,12336.0,1028.0,65024.0,70281.77995871118,175961.0,92.519,93.711,74.228,99.561,56838.1512605042,49130.0,26897.35182066007,61434.03112928609,53102.60595121002,0.2543614238559642,0.25108894768980256,0.23533264573729953,0.23230498351312845,4.6075025340875655,48100.55368141052,39769.12850333445,1.8103781512605042,0.94,0.36134453781512604,3.6757605042016808,238,54650.0,0.05434583714547118,0.036596523330283626,0.006038426349496798,0.017017383348581886,0.001646843549862763,0.0172003659652333,0.0025617566331198535,0.04958828911253431,0.004940530649588289,0.06020128087831656,0.04867337602927722,0.012076852698993596,0.12479414455626715,0.022506861848124428,0.0172003659652333,0.11399817017383349,0.09826166514181153,0.0005489478499542544,0.0344007319304666,0.04062214089661482,0.14473924977127173,0.09204025617566332,12.078023341617657,10.908722791698938,2,-3.1966017067398615,-0.37067303587348044
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",SC,15060.0,1255.0,66880.0,71420.94359368659,383016.0,93.642,96.339,83.129,98.284,52921.7076923077,46125.0,25071.002889426116,56514.926734059176,49256.74376882168,0.3376817872436972,0.3265077521340155,0.31621197921074296,0.3057483892533348,3.514057615691082,40432.39966287316,33174.216697635675,1.0810289389067524,0.91,0.2861736334405145,2.994855305466238,316,134360.0,0.045623697529026494,0.03304554927061625,0.009154510270913963,0.004391187853527836,0.000967549866031557,0.00841024114319738,0.007219410538850848,0.020541827924977673,0.009601071747543911,0.06445370646025603,0.03304554927061625,0.027463530812741888,0.1910538850848467,0.04770765108663293,0.03274784161952962,0.15071449836260792,0.12496278654361417,0.0005954153021732659,0.04413515927359333,0.045623697529026494,0.022030366180410838,0.07651086632926467,12.855834653600711,11.80828548638981,3,-1.3272819992297102,-6.593259395525943
