cbsa_code,bls_msa_name,metro_name_norm
34620,"Muncie, IN",muncie in
34740,"Muskegon-Norton Shores, MI",muskegon norton shores mi
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC",myrtle beach conway north myrtle beach sc
34900,"Napa, CA",napa ca
34940,"Naples-Marco Island, FL",naples marco island fl
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",nashville davidson murfreesboro franklin tn
35300,"New Haven, CT",new haven ct
35380,"New Orleans-Metairie, LA",new orleans metairie la
35620,"New York-Newark-Jersey City, NY-NJ",new york newark jersey city ny nj
35660,"Niles, MI",niles mi
35840,"North Port-Bradenton-Sarasota, FL",north port bradenton sarasota fl
35980,"Norwich-New London-Willimantic, CT",norwich new london willimantic ct
36100,"Ocala, FL",ocala fl
36220,"Odessa, TX",odessa tx
36260,"Ogden, UT",ogden ut
36420,"Oklahoma City, OK",oklahoma city ok
36500,"Olympia-Lacey-Tumwater, WA",olympia lacey tumwater wa
36540,"Omaha, NE-IA",omaha ne ia
36740,"Orlando-Kissimmee-Sanford, FL",orlando kissimmee sanford fl
36780,"Oshkosh-Neenah, WI",oshkosh neenah wi
36980,"Owensboro, KY",owensboro ky
37100,"Oxnard-Thousand Oaks-Ventura, CA",oxnard thousand oaks ventura ca
37140,"Paducah, KY-IL",paducah ky il
37340,"Palm Bay-Melbourne-Titusville, FL",palm bay melbourne titusville fl
37460,"Panama City-Panama City Beach, FL",panama city panama city beach fl
37620,"Parkersburg-Vienna, WV",parkersburg vienna wv
37860,"Pensacola-Ferry Pass-Brent, FL",pensacola ferry pass brent fl
37900,"Peoria, IL",peoria il
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",philadelphia camden wilmington pa nj de md
38060,"Phoenix-Mesa-Chandler, AZ",phoenix mesa chandler az
38240,"Pinehurst-Southern Pines, NC",pinehurst southern pines nc
38300,"Pittsburgh, PA",pittsburgh pa
38340,"Pittsfield, MA",pittsfield ma
38540,"Pocatello, ID",pocatello id
38660,"Ponce, PR",ponce pr
38860,"Portland-South Portland, ME",portland south portland me
38900,"Portland-Vancouver-Hillsboro, OR-WA",portland vancouver hillsboro or wa
38940,"Port St. Lucie, FL",port st lucie fl
39150,"Prescott Valley-Prescott, AZ",prescott valley prescott az
39300,"Providence-Warwick, RI-MA",providence warwick ri ma
39340,"Provo-Orem-Lehi, UT",provo orem lehi ut
39380,"Pueblo, CO",pueblo co
39460,"Punta Gorda, FL",punta gorda fl
39540,"Racine-Mount Pleasant, WI",racine mount pleasant wi
39580,"Raleigh-Cary, NC",raleigh cary nc
39660,"Rapid City, SD",rapid city sd
39740,"Reading, PA",reading pa
39820,"Redding, CA",redding ca
39900,"Reno, NV",reno nv
40060,"Richmond, VA",richmond va
40140,"Riverside-San Bernardino-Ontario, CA",riverside san bernardino ontario ca
40220,"Roanoke, VA",roanoke va
40340,"Rochester, MN",rochester mn
40380,"Rochester, NY",rochester ny
