year,cbsa_code,acs_area_name,median_gross_rent,annual_rent,median_household_income,population
2024,17540,"Clinton, IA Micro Area",850,10200,66981,46268
2024,17580,"Clovis, NM Micro Area",989,11868,55690,66566
2024,17620,"Coamo, PR Micro Area",516,6192,23203,53901
2024,17640,"Coco, PR Micro Area",530,6360,21901,25079
2024,17650,"Cody, WY Micro Area",925,11100,73035,30449
2024,17660,"Coeur d'Alene, ID Metro Area",1492,17904,81861,181996
2024,17740,"Coldwater, MI Micro Area",959,11508,63724,45300
2024,17780,"College Station-Bryan, TX Metro Area",1178,14136,60087,278335
2024,17820,"Colorado Springs, CO Metro Area",1699,20388,90144,767824
2024,17860,"Columbia, MO Metro Area",1070,12840,72340,215014
2024,17900,"Columbia, SC Metro Area",1193,14316,68359,849181
2024,17980,"Columbus, GA-AL Metro Area",1069,12828,59336,325615
2024,18020,"Columbus, IN Metro Area",1127,13524,79901,83536
2024,18060,"Columbus, MS Micro Area",916,10992,51117,67863
2024,18100,"Columbus, NE Micro Area",923,11076,75378,45357
2024,18140,"Columbus, OH Metro Area",1274,15288,81945,2175788
2024,18180,"Concord, NH Micro Area",1360,16320,97004,155967
2024,18220,"Connersville, IN Micro Area",791,9492,59321,23334
2024,18260,"Cookeville, TN Micro Area",885,10620,55380,145812
2024,18300,"Coos Bay-North Bend, OR Micro Area",1042,12504,62143,64827
2024,18340,"Corbin, KY Micro Area",772,9264,46363,149689
2024,18380,"Cordele, GA Micro Area",778,9336,45105,19790
2024,18420,"Corinth, MS Micro Area",751,9012,51260,34289
2024,18460,"Cornelia, GA Micro Area",974,11688,67309,47793
2024,18500,"Corning, NY Micro Area",894,10728,65887,92588
2024,18580,"Corpus Christi, TX Metro Area",1275,15300,67453,448012
2024,18620,"Corsicana, TX Micro Area",1076,12912,63111,54711
2024,18660,"Cortland, NY Micro Area",984,11808,70418,46246
2024,18700,"Corvallis, OR Metro Area",1410,16920,77702,96303
2024,18740,"Coshocton, OH Micro Area",765,9180,55577,36744
2024,18820,"Crawfordsville, IN Micro Area",858,10296,71479,38312
2024,18860,"Crescent City, CA Micro Area",1233,14796,67058,27107
2024,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",1633,19596,81993,299547
2024,18900,"Crossville, TN Micro Area",839,10068,60375,63553
2024,18980,"Cullman, AL Micro Area",908,10896,62656,90566
2024,19060,"Cumberland, MD-WV Micro Area",806,9672,62091,94306
2024,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",1614,19368,90275,7985590
2024,19140,"Dalton, GA Metro Area",938,11256,67846,144160
2024,19180,"Danville, IL Micro Area",838,10056,56877,72386
2024,19220,"Danville, KY Micro Area",748,8976,56921,55445
2024,19260,"Danville, VA Micro Area",845,10140,49874,102070
2024,19300,"Daphne-Fairhope-Foley, AL Metro Area",1277,15324,78775,246989
2024,19340,"Davenport-Moline-Rock Island, IA-IL Metro Area",941,11292,72738,381503
2024,19430,"Dayton-Kettering-Beavercreek, OH Metro Area",1039,12468,71739,816080
2024,19460,"Decatur, AL Metro Area",847,10164,68116,157747
2024,19500,"Decatur, IL Metro Area",847,10164,62666,101849
2024,19540,"Decatur, IN Micro Area",833,9996,65289,36227
2024,19580,"Defiance, OH Micro Area",846,10152,73064,38343
2024,19620,"Del Rio, TX Micro Area",994,11928,66100,47741
2024,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",1500,18000,71277,706150
2024,19700,"Deming, NM Micro Area",650,7800,36419,25611
2024,19740,"Denver-Aurora-Centennial, CO Metro Area",1874,22488,105762,3002721
2024,19760,"DeRidder, LA Micro Area",898,10776,65944,36676
2024,19780,"Des Moines-West Des Moines, IA Metro Area",1150,13800,85890,731120
2024,19810,"Detroit Lakes, MN Micro Area",920,11040,71388,35343
2024,19820,"Detroit-Warren-Dearborn, MI Metro Area",1207,14484,76664,4376828
2024,19860,"Dickinson, ND Micro Area",954,11448,85938,38366
2024,19940,"Dixon, IL Micro Area",894,10728,70292,33869
2024,19980,"Dodge City, KS Micro Area",1010,12120,70781,34074
2024,20020,"Dothan, AL Metro Area",910,10920,57791,152674
2024,20060,"Douglas, GA Micro Area",688,8256,48870,51684
2024,20100,"Dover, DE Metro Area",1354,16248,74477,187604
2024,20140,"Dublin, GA Micro Area",839,10068,54207,58988
2024,20180,"DuBois, PA Micro Area",791,9492,62152,78635
2024,20220,"Dubuque, IA Metro Area",959,11508,77630,99030
2024,20260,"Duluth, MN-WI Metro Area",990,11880,71769,280870
2024,20300,"Dumas, TX Micro Area",939,11268,61762,21373
2024,20340,"Duncan, OK Micro Area",895,10740,61620,43551
2024,20420,"Durango, CO Micro Area",1504,18048,86056,56331
2024,20460,"Durant, OK Micro Area",960,11520,57225,48253
2024,20500,"Durham-Chapel Hill, NC Metro Area",1466,17592,83500,601724
2024,20540,"Dyersburg, TN Micro Area",782,9384,58154,36508
2024,20580,"Eagle Pass, TX Metro Area",859,10308,49568,58082
2024,20660,"Easton, MD Micro Area",1256,15072,84811,37917
2024,20700,"East Stroudsburg, PA Micro Area",1393,16716,83565,167515
2024,20740,"Eau Claire, WI Metro Area",1033,12396,74595,173915
2024,20780,"Edwards, CO Micro Area",2019,24228,104096,55135
2024,20820,"Effingham, IL Micro Area",743,8916,79157,44856
2024,20900,"El Campo, TX Micro Area",1046,12552,66924,41794
2024,20940,"El Centro, CA Metro Area",1056,12672,57681,180202
2024,20980,"El Dorado, AR Micro Area",847,10164,55259,37900
2024,21020,"Elizabeth City, NC Micro Area",1170,14040,66589,40834
2024,21060,"Elizabethtown, KY Metro Area",964,11568,67534,127049
2024,21120,"Elk City, OK Micro Area",904,10848,53328,22148
2024,21140,"Elkhart-Goshen, IN Metro Area",1047,12564,68561,207132
2024,21180,"Elkins, WV Micro Area",821,9852,52757,27576
2024,21220,"Elko, NV Micro Area",1158,13896,85882,55632
2024,21260,"Ellensburg, WA Micro Area",1341,16092,73804,47172
2024,21300,"Elmira, NY Metro Area",1059,12708,63716,82147
2024,21340,"El Paso, TX Metro Area",1079,12948,59751,874182
2024,21380,"Emporia, KS Micro Area",817,9804,59354,34747
2024,21420,"Enid, OK Metro Area",919,11028,66182,62146
2024,21460,"Enterprise, AL Micro Area",1018,12216,68353,54920
2024,21500,"Erie, PA Metro Area",904,10848,63354,269052
2024,21540,"Escanaba, MI Micro Area",692,8304,57809,36813
2024,21580,"Española, NM Micro Area",740,8880,57155,40070
2024,21640,"Eufaula, AL-GA Micro Area",691,8292,44925,26907
2024,21660,"Eugene-Springfield, OR Metro Area",1355,16260,71544,384207
2024,21700,"Eureka-Arcata, CA Micro Area",1287,15444,61160,134541
2024,21740,"Evanston, WY-UT Micro Area",891,10692,82471,23275
2024,21780,"Evansville, IN Metro Area",986,11832,68232,270494
2024,21820,"Fairbanks-College, AK Metro Area",1459,17508,88267,95460
2024,21860,"Fairmont, MN Micro Area",761,9132,59507,19780
2024,21900,"Fairmont, WV Micro Area",932,11184,67370,55909
2024,21980,"Fallon, NV Micro Area",1319,15828,79163,25805
2024,22020,"Fargo, ND-MN Metro Area",967,11604,76756,259459
2024,22060,"Faribault-Northfield, MN Micro Area",1083,12996,83181,67917
2024,22100,"Farmington, MO Micro Area",794,9528,57477,66999
2024,22140,"Farmington, NM Metro Area",956,11472,55872,120942
2024,22180,"Fayetteville, NC Metro Area",1212,14544,61763,392380
2024,22190,"Fayetteville, TN Micro Area",857,10284,64667,35946
2024,22220,"Fayetteville-Springdale-Rogers, AR Metro Area",1157,13884,81650,577726
2024,22260,"Fergus Falls, MN Micro Area",868,10416,72255,60475
2024,22300,"Findlay, OH Micro Area",979,11748,73141,74866
2024,22340,"Fitzgerald, GA Micro Area",688,8256,41758,17089
2024,22380,"Flagstaff, AZ Metro Area",1473,17676,72966,144508
2024,22420,"Flint, MI Metro Area",989,11868,62281,403305
2024,22500,"Florence, SC Metro Area",934,11208,54443,199675
2024,22520,"Florence-Muscle Shoals, AL Metro Area",853,10236,61891,153852
2024,22540,"Fond du Lac, WI Metro Area",960,11520,74275,104137
2024,22580,"Forest City, NC Micro Area",783,9396,51410,64930
2024,22620,"Forrest City, AR Micro Area",779,9348,42574,22400
2024,22660,"Fort Collins-Loveland, CO Metro Area",1716,20592,93765,367368
2024,22700,"Fort Dodge, IA Micro Area",785,9420,68975,36886
2024,22780,"Fort Leonard Wood, MO Micro Area",1112,13344,64466,53894
2024,22800,"Fort Madison, IA Micro Area",835,10020,62382,32893
2024,22820,"Fort Morgan, CO Micro Area",1025,12300,73278,29520
2024,22840,"Fort Payne, AL Micro Area",693,8316,51204,72269
2024,22900,"Fort Smith, AR-OK Metro Area",866,10392,58468,229899
2024,23060,"Fort Wayne, IN Metro Area",1003,12036,71213,455416
2024,23140,"Frankfort, IN Micro Area",920,11040,65019,32944
2024,23180,"Frankfort, KY Micro Area",953,11436,68568,76195
2024,23190,"Franklin, KY Micro Area",1012,12144,59858,19972
2024,23240,"Fredericksburg, TX Micro Area",1340,16080,76162,27524
2024,23300,"Freeport, IL Micro Area",798,9576,64043,43768
2024,23340,"Fremont, NE Micro Area",1060,12720,74329,37351
2024,23380,"Fremont, OH Micro Area",783,9396,62295,58778
2024,23420,"Fresno, CA Metro Area",1392,16704,74468,1177665
2024,23460,"Gadsden, AL Metro Area",847,10164,54563,103105
2024,23500,"Gaffney, SC Micro Area",869,10428,50288,56647
2024,23540,"Gainesville, FL Metro Area",1295,15540,61468,349923
2024,23580,"Gainesville, GA Metro Area",1341,16092,80901,212705
2024,23620,"Gainesville, TX Micro Area",1047,12564,73932,43046
2024,23660,"Galesburg, IL Micro Area",788,9456,57030,49046
2024,23680,"Gallipolis, OH Micro Area",813,9756,56830,29068
2024,23700,"Gallup, NM Micro Area",859,10308,47668,70431
2024,23780,"Garden City, KS Micro Area",1048,12576,73009,38084
2024,23820,"Gardnerville Ranchos, NV-CA Micro Area",1592,19104,91077,51239
2024,23900,"Gettysburg, PA Metro Area",1115,13380,84092,106115
2024,23940,"Gillette, WY Micro Area",1009,12108,89869,47240
2024,23980,"Glasgow, KY Micro Area",776,9312,50729,55363
2024,24020,"Glens Falls, NY Metro Area",1077,12924,75836,126039
2024,24100,"Gloversville, NY Micro Area",912,10944,66533,52487
2024,24140,"Goldsboro, NC Metro Area",965,11580,59733,118652
2024,24180,"Granbury, TX Micro Area",1428,17136,88160,65894
2024,24220,"Grand Forks, ND-MN Metro Area",967,11604,69836,103628
2024,24260,"Grand Island, NE Metro Area",929,11148,69704,76794
2024,24300,"Grand Junction, CO Metro Area",1182,14184,73658,158601
2024,24330,"Grand Rapids, MN Micro Area",988,11856,68603,45275
2024,24340,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",1202,14424,82874,1162152
2024,24420,"Grants Pass, OR Metro Area",1194,14328,60098,88179
2024,24460,"Great Bend, KS Micro Area",761,9132,58851,25097
2024,24500,"Great Falls, MT Metro Area",939,11268,67690,84606
2024,24540,"Greeley, CO Metro Area",1539,18468,97097,350396
2024,24580,"Green Bay, WI Metro Area",1010,12120,79267,331145
2024,24600,"Greencastle, IN Micro Area",884,10608,78378,37280
2024,24620,"Greeneville, TN Micro Area",737,8844,56194,71628
2024,24640,"Greenfield, MA Micro Area",1177,14124,74907,70944
2024,24660,"Greensboro-High Point, NC Metro Area",1093,13116,65565,786419
2024,24700,"Greensburg, IN Micro Area",861,10332,69783,26422
2024,24740,"Greenville, MS Micro Area",833,9996,42165,42765
2024,24780,"Greenville, NC Metro Area",993,11916,58188,177193
2024,24820,"Greenville, OH Micro Area",779,9348,64486,51594
2024,24860,"Greenville-Anderson-Greer, SC Metro Area",1150,13800,71240,961939
2024,24900,"Greenwood, MS Micro Area",686,8232,39534,36827
2024,24940,"Greenwood, SC Micro Area",886,10632,52860,93909
2024,24980,"Grenada, MS Micro Area",804,9648,46897,30819
2024,25020,"Guayama, PR Metro Area",470,5640,21186,66202
2024,25060,"Gulfport-Biloxi, MS Metro Area",1097,13164,62418,421201
2024,25100,"Guymon, OK Micro Area",873,10476,60069,20774
2024,25180,"Hagerstown-Martinsburg, MD-WV Metro Area",1159,13908,78802,302649
2024,25200,"Hailey, ID Micro Area",1282,15384,88522,31433
2024,25220,"Hammond, LA Metro Area",1003,12036,56760,136738
2024,25260,"Hanford-Corcoran, CA Metro Area",1331,15972,70995,153298
2024,25300,"Hannibal, MO Micro Area",799,9588,63545,38885
2024,25420,"Harrisburg-Carlisle, PA Metro Area",1212,14544,80919,604155
2024,25460,"Harrison, AR Micro Area",715,8580,54384,45250
2024,25500,"Harrisonburg, VA Metro Area",1173,14076,75065,136992
2024,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",1416,16992,95118,1153112
2024,25580,"Hastings, NE Micro Area",827,9924,69510,40507
2024,25620,"Hattiesburg, MS Metro Area",1014,12168,60285,155434
2024,25700,"Hays, KS Micro Area",943,11316,63084,28920
2024,25720,"Heber, UT Micro Area",1992,23904,127160,79612
2024,25740,"Helena, MT Metro Area",1082,12984,78528,93906
2024,25770,"Hemlock Farms, PA Micro Area",1378,16536,81323,60621
2024,25775,"Henderson, KY Micro Area",778,9336,59053,57122
2024,25780,"Henderson, NC Micro Area",883,10596,50465,42322
2024,25820,"Hereford, TX Micro Area",926,11112,60799,18460
2024,25840,"Hermiston-Pendleton, OR Micro Area",997,11964,68427,92240
2024,25850,"Hermitage, PA Micro Area",843,10116,59976,109257
2024,25860,"Hickory-Lenoir-Morganton, NC Metro Area",869,10428,62787,368316
2024,25880,"Hillsdale, MI Micro Area",832,9984,64242,45654
2024,25900,"Hilo-Kailua, HI Micro Area",1510,18120,78639,205769
2024,25940,"Hilton Head Island-Bluffton-Port Royal, SC Metro Area",1573,18876,83304,227455
2024,25980,"Hinesville, GA Metro Area",1213,14556,61709,85771
2024,26020,"Hobbs, NM Micro Area",1101,13212,68015,73733
2024,26090,"Holland, MI Micro Area",1100,13200,83283,121456
2024,26140,"Homosassa Springs, FL Metro Area",1107,13284,56546,162472
2024,26220,"Hood River, OR Micro Area",1417,17004,88947,23905
2024,26300,"Hot Springs, AR Metro Area",966,11592,57181,100035
2024,26340,"Houghton, MI Micro Area",835,10020,58128,39826
2024,26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",1014,12168,64038,202438
2024,26420,"Houston-Pasadena-The Woodlands, TX Metro Area",1430,17160,82168,7442788
2024,26460,"Hudson, NY Micro Area",1260,15120,81528,61100
2024,26500,"Huntingdon, PA Micro Area",810,9720,65557,43653
2024,26540,"Huntington, IN Micro Area",879,10548,66301,36798
2024,26580,"Huntington-Ashland, WV-KY-OH Metro Area",884,10608,60078,370729
2024,26620,"Huntsville, AL Metro Area",1183,14196,85989,516951
2024,26660,"Huntsville, TX Micro Area",1031,12372,52324,80209
2024,26700,"Huron, SD Micro Area",879,10548,67681,19309
2024,26740,"Hutchinson, KS Micro Area",863,10356,60645,61553
2024,26780,"Hutchinson, MN Micro Area",941,11292,80084,36798
2024,26820,"Idaho Falls, ID Metro Area",1127,13524,80291,165361
2024,26860,"Indiana, PA Micro Area",800,9600,60208,83042
2024,26900,"Indianapolis-Carmel-Greenwood, IN Metro Area",1191,14292,79852,2130055
2024,26980,"Iowa City, IA Metro Area",1097,13164,75088,179200
2024,27020,"Iron Mountain, MI-WI Micro Area",796,9552,64552,30600
2024,27060,"Ithaca, NY Metro Area",1411,16932,74024,104537
2024,27100,"Jackson, MI Metro Area",985,11820,66073,160060
2024,27140,"Jackson, MS Metro Area",1072,12864,61644,611324
2024,27180,"Jackson, TN Metro Area",997,11964,61177,181719
2024,27220,"Jackson, WY-ID Micro Area",1745,20940,118796,35821
2024,27260,"Jacksonville, FL Metro Area",1513,18156,79643,1683960
2024,27300,"Jacksonville, IL Micro Area",718,8616,66353,37958
2024,27340,"Jacksonville, NC Metro Area",1265,15180,68148,207906
2024,27380,"Jacksonville, TX Micro Area",933,11196,61261,51886
